column1;accent;age_range;gender;location;province;userid
61;normativo;range-50_59;femenino;15020;15;9f70a4dd-b820-421b-a166-0f9b338980dc
62;oriental;range-70_79;femenino;27042;27;0bb46486-2a64-4542-a6c5-1ac824034be7
63;central;range-20_29;femenino;36009;36;184e1fa1-ffb0-4db8-a5b5-dfd98e622273
64;atlantico;range-20_29;masculino;36057;36;c4a185b4-c2d9-44d8-853e-fa456ef7cd5f
65;oriental;range-20_29;femenino;27011;27;7950898f-8eb2-4cce-969b-602c67edce6e
66;normativo;range-40_49;femenino;15044;15;c6a55525-3cca-42a3-ac26-f4711fda4088
67;atlantico;range-30_39;femenino;15057;15;eb96467c-d980-43fb-93ba-0bad956eae03
68;not-shared;range-40_49;not-shared;not-shared;not-shared;4e0a2745-6ea8-48e9-91d4-b2b280572f74
69;atlantico;range-30_39;femenino;15057;15;8803b6ba-3014-403d-94a0-55778c36e812
70;central;range-40_49;not-shared;15089;15;7d1a5003-26f8-473e-abb1-0c8b304711df
71;oriental;range-20_29;masculino;32054;32;68885f2c-87bd-4499-aad2-b513facf0a5f
72;central;range-40_49;masculino;15902;15;27e06851-530d-4d97-baa2-6c0c203d1545
73;normativo;range-20_29;masculino;15901;15;728d4055-b253-4a8b-a9ad-d35e9a1a056d
74;normativo;less-19;not-shared;15089;15;13a4efc2-417a-4709-b455-15fcc154ec23
75;neofalante;range-20_29;masculino;36057;36;16c6473e-043c-44e3-8f38-04686ea13261
76;oriental;range-40_49;femenino;27054;27;eab7eedf-7295-4f8e-941e-e350b0737f45
77;not-shared;not-shared;not-shared;not-shared;not-shared;fb81e6cc-2ae2-4258-89a6-8fa560705362
78;not-shared;not-shared;not-shared;not-shared;not-shared;29f6d561-6dff-4e44-a953-2c788338d4a7
79;neofalante;range-20_29;masculino;36057;36;f26024e9-a8a2-4f03-8183-f1b074cddae4
80;neofalante;range-20_29;masculino;36057;36;63f96cf2-02a8-4e11-acfc-6c377a3f3091
81;neofalante;range-20_29;masculino;36057;36;724c8474-30c4-4f5d-9696-696f44e67f78
82;normativo;range-30_39;masculino;not-shared;36;fc092593-cf7f-4f94-8fd5-c1c4af7aec87
83;oriental;range-40_49;masculino;27042;27;5812b6f6-7bd4-4644-8bb1-9be831632f35
84;oriental;range-20_29;femenino;27049;27;4351acc7-4eff-4c53-90ab-c006c2f26951
85;oriental;range-20_29;nobinario;27049;27;ede89ace-e0f4-41b9-bda0-223b1eefa57e
86;central;range-50_59;not-shared;not-shared;not-shared;4e5bdeb4-660a-48d2-b409-b537a48f2eec
87;central;range-20_29;masculino;36056;36;7e77f144-5c07-4892-83e5-955f08fac4f0
88;not-shared;not-shared;not-shared;not-shared;not-shared;6617bc87-d3f1-4a45-bf7e-69835c67af9d
89;normativo;not-shared;femenino;15030;15;22270b45-e033-441a-a8f2-bf14bf70ed67
90;atlantico;range-20_29;masculino;36029;36;5d3fdca1-92e4-4fd2-8b3d-a841be722217
91;not-shared;range-40_49;femenino;15005;15;692e4941-6429-4b4c-80b2-17b0a1663578
92;normativo;less-19;masculino;32014;32;fabf65cd-6417-4b26-bfb3-60cdae9d18e8
93;central;range-20_29;masculino;27018;27;ea1fd3a0-f320-4cc8-90d7-4195c4e325a5
94;neofalante;range-20_29;masculino;36057;36;db988a89-5f38-4b5c-9666-cef31ae48d40
95;neofalante;range-20_29;masculino;36057;36;50186aec-b967-40c4-9b72-a4b196b5a9d7
96;neofalante;range-20_29;femenino;15018;15;97ae554e-57f3-4df0-bdad-ecce8fdda5e4
97;normativo;range-20_29;masculino;15058;15;aefb3377-1cd7-47c1-ac1c-a06de079c990
98;central;not-shared;not-shared;not-shared;not-shared;31c0afd2-a471-4980-9a14-90141582415a
99;neofalante;range-20_29;masculino;36057;36;e14ec113-76c5-4762-a9fa-e0e8fe598a0f
100;not-shared;not-shared;not-shared;not-shared;not-shared;75ec79b4-d3a9-4b59-aaf6-ddcc7f33bdfc
101;normativo;range-30_39;masculino;32003;32;50077b59-a6d4-4105-b059-19d96336e8dc
102;normativo;range-30_39;masculino;32034;32;5c31fb83-31da-4028-b7fd-e51f9384e130
103;atlantico;less-19;femenino;other-location;other-location;91a1dcbf-f644-4c97-8e90-7e279573bd8c
104;not-shared;not-shared;not-shared;not-shared;not-shared;48b83f7c-2919-47d0-a041-0cb83dc77c9f
105;not-shared;not-shared;not-shared;not-shared;not-shared;a057e05f-51fd-4333-96ce-c27822328a0d
106;not-shared;not-shared;not-shared;not-shared;other-location;a10232c0-d240-463c-b35f-2892ee8e8398
107;central;not-shared;masculino;27048;27;42f93324-2a4b-45e1-baf9-b989a6170a5d
108;not-shared;not-shared;not-shared;not-shared;not-shared;73903fa1-a190-4e42-b662-732c1c965b53
109;not-shared;not-shared;not-shared;not-shared;not-shared;06a26c9c-e529-4e69-9349-f60d0a50026a
110;not-shared;not-shared;not-shared;not-shared;not-shared;136f1145-1ad9-4cb9-93e2-200545869781
111;not-shared;not-shared;not-shared;not-shared;not-shared;afa0981b-e2f2-4a7b-a3aa-eca53d5e4562
112;not-shared;not-shared;not-shared;not-shared;not-shared;1882b06f-9e0c-4ee6-90f5-149345891195
113;not-shared;not-shared;not-shared;not-shared;other-location;ee06db99-3140-49a4-9a94-6131ef4117ee
114;not-shared;not-shared;not-shared;not-shared;not-shared;2db922e3-f245-4d60-9b93-4b42465551e2
115;not-shared;not-shared;not-shared;not-shared;other-location;621b597d-d5c4-4bcc-ac6c-96ac5e3146e3
116;not-shared;not-shared;not-shared;not-shared;not-shared;0ebd90ac-9334-421e-b2ea-d5ffa4cc72d1
117;central;range-30_39;masculino;32032;32;71205076-676e-4a5f-9fb0-28324e4ab5b0
118;not-shared;not-shared;not-shared;not-shared;not-shared;3be3df85-7221-4fa7-a3ab-f30afa4870ed
119;not-shared;not-shared;not-shared;not-shared;not-shared;bd2a9b45-373a-4020-95b4-76a3668d1c63
120;not-shared;not-shared;not-shared;not-shared;not-shared;d8aa3153-ef0a-46a1-8072-ca26c890e0e7
121;not-shared;not-shared;not-shared;not-shared;not-shared;cfe7d9c1-8e0c-48d2-83a0-5f34ae74852e
122;not-shared;not-shared;not-shared;not-shared;not-shared;b559f192-8076-4ac2-9fd2-d04140494fdd
123;not-shared;not-shared;not-shared;not-shared;not-shared;3ff2a114-c565-4edb-b097-6042b69576a3
124;atlantico;less-19;not-shared;other-location;other-location;47bcd62b-9117-4aeb-87df-42562625c344
125;not-shared;not-shared;not-shared;not-shared;not-shared;9bdb2a64-8c4a-491e-8c0d-7743dd494dce
126;not-shared;not-shared;not-shared;not-shared;not-shared;a31edf48-45a6-403d-955f-c11be06325e5
127;neofalante;range-20_29;masculino;36057;36;600d0079-e002-45eb-9e9d-b204818a362f
128;neofalante;range-20_29;masculino;36057;36;80b61f71-0b3e-45a7-97e6-2f24fef49353
129;not-shared;not-shared;not-shared;not-shared;not-shared;595dd60f-61d6-49c4-b7be-c9c181b4dec1
130;not-shared;not-shared;not-shared;not-shared;not-shared;720c3fe1-106a-4f73-951a-b39493e16e38
131;atlantico;less-19;femenino;other-location;other-location;f10e529f-1e36-4919-ac61-59351d37b7c9
132;not-shared;not-shared;not-shared;not-shared;not-shared;763111bf-2d30-4cb9-a4e5-73db353907bb
133;normativo;not-shared;masculino;not-shared;32;5c970f6a-e154-4dde-b034-66d4d7c67137
134;not-shared;range-70_79;femenino;not-shared;other-location;1313c556-9f83-40cc-bad4-284643c2dff8
135;normativo;range-30_39;not-shared;other-location;other-location;7f1ed460-fb2b-496b-92be-e565a943670a
136;oriental;less-19;femenino;27044;27;519d021b-4869-4e5c-9a4e-434d731542f3
137;normativo;less-19;masculino;15018;15;66bb4ab9-17d8-4d61-8001-58e22c187e96
138;central;range-30_39;femenino;15018;15;b0400a0e-1519-4283-b7b2-1a1780f9bf60
139;normativo;range-20_29;masculino;15058;15;48b1ad8f-1701-4074-9ec9-e522dc3a48d8
140;normativo;range-20_29;femenino;other-location;other-location;3927d851-b27c-41f6-acc3-6bf9359cdb09
141;not-shared;range-20_29;femenino;15030;15;18473595-2546-4683-9d2d-6b1959e715e0
142;neofalante;range-20_29;masculino;36023;36;b5d29cbb-856e-41ba-b1f0-443bee58e87a
143;oriental;less-19;femenino;27044;27;ef3b1d2c-8b12-4205-a697-2dd7c4128f20
144;normativo;range-20_29;femenino;27044;27;6460c050-f415-47e1-b029-23e646bec6ca
145;normativo;range-20_29;femenino;27044;27;77240098-a098-499e-8084-179de7c421ac
146;neofalante;range-30_39;femenino;32003;32;7e006f8c-150c-46c7-bb95-40873b202353
147;not-shared;not-shared;not-shared;not-shared;not-shared;b70c67b1-378c-4d42-b88d-dd9ca6fe0116
148;not-shared;less-19;not-shared;not-shared;not-shared;7eeabcdd-8dd7-465f-aa41-4413a417c6dc
149;normativo;range-40_49;not-shared;not-shared;other-location;f1dd8432-6398-408a-9f80-c7b3ad061889
150;normativo;range-20_29;masculino;15030;15;12b5aa8f-99f5-4ee5-b342-601a40b907a6
151;normativo;range-50_59;femenino;15018;15;740de240-3f54-47b7-b743-c3de212286ae
152;normativo;range-50_59;femenino;15030;15;bef25fbb-bcf8-4e9f-b4ef-b99ca4ff101b
153;neofalante;less-19;femenino;other-location;other-location;6ff4c3c4-d412-4efe-a509-281bd7a87b4a
154;central;range-20_29;masculino;15041;15;b8884f62-4b82-4519-b688-f71c248ca41f
155;neofalante;less-19;femenino;other-location;other-location;a2af120f-5f8a-470a-bed2-cdd2ede66916
156;neofalante;less-19;not-shared;not-shared;other-location;e9a8dc25-aa54-4702-9fc0-9707d05239e0
157;normativo;range-20_29;masculino;15058;15;2f7223c9-a12a-4295-b551-6f0254821099
158;normativo;range-20_29;masculino;15058;15;e30d985b-0268-4633-a987-43f54e1afe6d
159;neofalante;range-20_29;femenino;other-location;other-location;62279156-a572-48be-b811-c6b8d9e3eccf
160;neofalante;range-20_29;masculino;15018;15;e4310614-4802-4541-9eea-a5fb2e72f628
161;normativo;less-19;femenino;other-location;other-location;24bdb8d3-4d65-4b96-878d-ec5fc09f39f9
162;normativo;range-20_29;masculino;15078;15;1da825ee-ee3f-44d1-a23f-43561f2a26e9
163;neofalante;range-20_29;masculino;36057;36;b37aad01-8535-4266-a48e-1049abbf5462
164;normativo;range-20_29;masculino;15078;15;f83df6f0-7e56-4d75-8585-e355ad65df4c
165;not-shared;not-shared;not-shared;not-shared;not-shared;ec1e9432-bea4-4f7e-9045-45898aa86cd0
166;atlantico;not-shared;not-shared;not-shared;not-shared;46add130-9edf-45cc-b3d4-d3f8dc4f3a86
167;not-shared;not-shared;not-shared;not-shared;not-shared;43b08101-8551-43d4-bc76-22be3abcb656
168;neofalante;range-20_29;masculino;36057;36;cfdad89f-b872-4c83-adac-178a7a4be4ef
169;not-shared;not-shared;not-shared;not-shared;not-shared;62f47f8b-1957-4dcf-8303-948e6b7de16e
170;not-shared;not-shared;not-shared;not-shared;not-shared;31528fa7-7aac-4a6e-8e24-08ef7ef83981
171;neofalante;range-20_29;masculino;36057;36;17e5e266-97a3-4b6b-b7b8-ebed8bb3b5d6
172;atlantico;less-19;femenino;other-location;other-location;36569eb9-c546-475a-adab-6ef5145a8e25
